group,sample,duration,channels,frames,rate,file
bass,bass_dnb_f,0.871,2,38391,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/bass_dnb_f.flac
bass,bass_drop_c,2.359,2,104028,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/bass_drop_c.flac
bass,bass_hard_c,1.5,2,66150,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/bass_hard_c.flac
bass,bass_hit_c,0.609,2,26868,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/bass_hit_c.flac
bass,bass_thick_c,3.968,2,174992,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/bass_thick_c.flac
bass,bass_trance_c,3.611,2,159267,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/bass_trance_c.flac
bass,bass_voxy_c,6.235,2,274950,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/bass_voxy_c.flac
bass,bass_voxy_hit_c,0.457,2,20173,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/bass_voxy_hit_c.flac
bass,bass_woodsy_c,3.252,2,143425,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/bass_woodsy_c.flac
bd,bd_808,0.56,1,24685,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/bd_808.flac
bd,bd_ada,0.102,1,4489,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/bd_ada.flac
bd,bd_boom,1.714,2,75600,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/bd_boom.flac
bd,bd_chip,0.104,2,4606,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/bd_chip.flac
bd,bd_fat,0.232,1,10240,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/bd_fat.flac
bd,bd_gas,0.447,1,19719,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/bd_gas.flac
bd,bd_haus,0.22,2,9699,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/bd_haus.flac
bd,bd_klub,0.369,2,16266,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/bd_klub.flac
bd,bd_mehackit,0.85,2,37463,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/bd_mehackit.flac
bd,bd_pure,0.433,1,19106,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/bd_pure.flac
bd,bd_sone,0.409,2,18033,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/bd_sone.flac
bd,bd_tek,0.24,2,10595,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/bd_tek.flac
bd,bd_zome,0.46,2,20274,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/bd_zome.flac
bd,bd_zum,0.132,2,5803,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/bd_zum.flac
drum,drum_bass_hard,0.695,1,30658,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/drum_bass_hard.flac
drum,drum_bass_soft,0.562,1,24804,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/drum_bass_soft.flac
drum,drum_cowbell,0.35,1,15430,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/drum_cowbell.flac
drum,drum_cymbal_closed,0.207,1,9126,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/drum_cymbal_closed.flac
drum,drum_cymbal_hard,1.639,1,72272,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/drum_cymbal_hard.flac
drum,drum_cymbal_open,1.804,1,79573,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/drum_cymbal_open.flac
drum,drum_cymbal_pedal,0.272,1,12004,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/drum_cymbal_pedal.flac
drum,drum_cymbal_soft,0.95,1,41883,44100.0,https://raw.githubusercontent.com/sonic-pi-net/sonic-pi/stable/etc/samples/drum_cymbal_soft.flac
